username,dateOfBirth,email,enabled,locked,staticUserId,favoriteMusic,favoriteEventType,registrationDate
HTHLHLM44W,1983-02-25,WKR01@wp.pl,0,0,1,neosoul,halloween,2018-01-03
VVXKNH9G60,1990-06-04,797IF@kio.pl,1,0,1,instrumental,wedding,2012-06-27
7NF03Q0IRK,1967-01-14,DPPT7@kio.pl,1,0,1,pop,halloween,2022-11-17
3NA2XXADRJ,2018-05-27,FB2PT@gmail.com,1,0,1,grunge,dance party,2010-01-14
74FOVAPSRE,1981-02-06,L89BG@wp.pl,1,0,1,pop,wedding,2020-02-11
H1CRJITSQX,2018-08-16,V9X3V@kio.pl,0,1,1,electronic,party 18+,2019-04-14
9BIIK6S7K7,1973-06-15,5E7MN@gmail.com,1,0,1,neosoul,party 18+,2019-02-27
Q0WZ41NHH0,1971-10-20,P6J6M@wp.pl,1,1,1,neosoul,pijama party,2015-12-09
11ZLQKONLO,1961-05-17,IWWU6@wp.pl,1,0,1,neosoul,wedding,2010-01-22
81MRKZ9X6L,1999-03-18,P8FR4@gmail.com,0,1,1,grunge,party 16+,2013-12-21
CK9TGHJ3CU,1990-06-27,XT4VB@gmail.com,1,0,1,pop,costium party,2011-10-15
0NKA2OX1QX,1964-10-16,QJOWH@gmail.com,0,1,1,neosoul,halloween,2011-10-20
HNXAPMVLRD,1973-04-11,N6HQA@wp.pl,1,1,1,grunge,costium party,2021-06-05
8A97PYWZUA,1967-08-22,5D576@kio.pl,0,1,1,neosoul,wedding,2020-11-01
EY1N5ZU9Y0,1976-06-01,U710K@wp.pl,1,1,1,metal,halloween,2020-11-24
OG0GGTOG7P,2019-08-07,VCN1D@kio.pl,1,0,1,jazz,party 16+,2013-11-12
5UR7RTGICR,1990-08-17,LSC9X@gmail.com,1,0,1,instrumental,party 18+,2017-10-10
20VJTMO9HZ,2006-04-21,ULXCY@gmail.com,0,0,1,blues,wedding,2012-10-21
PKBAYNVFJE,1996-02-02,Z89T2@kio.pl,0,1,1,blues,party 16+,2015-02-17
R6ARDO8WGP,1957-02-27,E7BVB@kio.pl,1,1,1,electronic,pijama party,2019-01-18
XDCNNGNU5X,1950-07-20,V8RO8@wp.pl,0,1,1,instrumental,dance party,2021-02-13
X2LKMLSEGF,1972-04-06,FDPRB@wp.pl,0,1,1,blues,wedding,2019-11-05
3FPGDFW6CG,1992-06-27,M3M5J@wp.pl,1,1,1,instrumental,halloween,2018-03-13
MD2TZEEW4V,1984-08-04,QUMO1@wp.pl,1,0,1,jazz,party 16+,2018-08-02
OOVIM1MF2Z,2017-09-24,J0J9O@wp.pl,0,0,1,rock,costium party,2019-08-12
HL2ALXADCS,1978-06-07,7J98B@wp.pl,0,1,1,blues,costium party,2018-08-17
KFKRKER6C5,1984-08-27,WSM1P@gmail.com,1,1,1,electronic,wedding,2014-11-26
