creationDate,confirmationDate,expirationDate,token,userId,staticEmailConfirmationTokenId
2010-08-10,2010-10-10,2018-08-12,KPOL414Z30ISAMR9JU9132NLGXDB0XDK,354,1
2010-10-13,2019-02-22,2017-08-17,S01BMCW43IV5J4ONFLY88WNU3UQD7KTH,83,1
2013-12-16,2016-04-22,2018-04-05,6980W585BOXTVGEXXDZDA5JKF5DJSGWM,273,1
2020-05-23,2022-12-04,2022-03-25,OA4RYELXLQ6JACG4BD5S3TG5NU4OKXQN,121,1
2017-03-16,2010-11-06,2019-02-10,LXQMZZDJG6X9IAOA9N8L9F4H8IREYNRI,1379,1
2013-04-26,2010-03-09,2013-02-09,1392SKD2CXZPCO8ZZGL7IDBZ9K1IHFI5,1072,1
2016-06-16,2017-10-06,2015-09-09,E9UAS45YOTMTIVF9UWX6R2HL6UGZNWRY,500,1
2017-02-14,2022-09-21,2020-11-09,BN1YG9NDDWIXEPJQWJ8TUNDK86CD22TR,612,1
2012-04-23,2017-12-10,2019-11-16,PNLZ49U2309UJTKQGN76TKR9YIXODIUY,1976,1
2018-11-13,2012-02-10,2011-08-27,R9A2IHJUAWWUBNSM2YUFV62WEG0IRLY8,1908,1
2011-06-13,2020-11-21,2019-04-01,8B5P33GF56EL3MJLFQV7EVK5PJUWVYXI,1251,1
2011-05-07,2014-09-25,2011-03-19,R7QC7URZI68A5P6R9XCOL6KWT5HA9CDX,1421,1
2019-01-14,2018-11-05,2011-11-20,FOFAPSO3LHPR7AWAHTC6G5W9HZ8C0ICF,1729,1
2011-11-23,2020-05-04,2018-09-01,W69PQKVUSWR6G9TGHRE2MRJJV6C3AIMB,1805,1
2022-11-12,2012-03-06,2011-03-19,8VR8IODOKNI9D5Z4415LMDF4CWZ9DKK9,1496,1
2013-08-01,2012-09-09,2013-05-08,XIGKVQIBPYNC5B63ZXH523WWFFKHRHVE,1752,1
2015-08-24,2016-03-23,2021-12-09,B9BCL0KT1JW05DVAHOHBPCZW5FP9SSN3,1777,1
2020-06-27,2014-09-22,2019-09-21,3DMBTZ011MZ1WVR0CC2DFN5LZJJB72XC,129,1
2011-04-16,2022-10-17,2012-06-11,QMM5Z0XMBKJ7NGW65BF4QJ0PNNWDHWNS,1522,1
2011-02-20,2020-04-15,2013-11-03,WREH9OXMJU8U91IW6VQJJZ6NE2GYYUY8,1904,1
2015-05-02,2019-11-10,2017-03-22,UK4YYBAW2RUP5WL5JSCIUW4WWJB4RIH8,1249,1
2018-11-06,2019-06-24,2013-04-15,E7V3HQ3AFZX0QFFMG9MKHU7SLXX8YYCU,1739,1
2020-11-16,2011-05-13,2022-05-16,MYNJWV8XHWTHT12G2R859TRZ1ZC393Y5,481,1
2022-08-21,2019-05-03,2015-05-24,9T8687HSZRKYZIHZBV3QV7AH724EPBV3,907,1
2010-02-28,2013-03-19,2021-11-13,S60XO43CSVOLRYLBP3FP9EUD88ANKCZV,1569,1
2012-11-02,2015-05-27,2012-09-10,5LM8XAUDYF82HEIVJILM1ONUQK7F85PQ,874,1
2019-12-02,2022-02-12,2020-08-04,PIKZMN1F5RCI5OMGZW84PRBJU6GR1MUF,1144,1
2013-12-06,2012-03-01,2015-02-03,NU1E8NXPHSVN7MXVTN0ZM91WGOIO7P5J,950,1
2010-09-18,2014-07-12,2016-03-04,J9SOS6CHUP2FMI5WT88EW2R14EDJP1D2,1876,1
2016-04-01,2022-04-13,2018-06-16,BI6C3QAK2RZMMOM7OYKJ9WZ2YLFKLUEB,1357,1
2019-06-25,2022-01-25,2010-12-25,RKPRGGKNHYJ3HQLN812UF13C7A0IBZ45,1936,1
2012-06-14,2020-01-09,2011-07-22,FXKH66VA38OR5GZH3FVX8YK2P35ORL4S,114,1
2013-12-13,2022-06-07,2013-08-21,S5IAOB39KFP6ITA55KSM1XG92R1NQPRT,45,1
2018-02-08,2012-10-08,2013-04-27,HGO5UVYOSFLJAOH34G1547WODABRQ7VW,1640,1
