username,dateOfBirth,email,enabled,locked,staticUserId,totalProvisionEarned,employmentDate,totalTicketsSold
V0PZEXJZRT,2005-01-10,5KIYD@gmail.com,0,1,1,5065,2014-07-12,936
5488LLP5LI,1990-04-14,7FK79@gmail.com,0,0,1,1005,2012-02-03,15
2JDI6OA7PC,1990-12-17,1KQN5@wp.pl,1,0,1,5188,2012-01-05,253
60U3QDA0C9,1984-10-02,30DL8@wp.pl,0,1,1,4214,2013-07-09,47
H2RCMEF85V,1978-07-08,WDQQD@gmail.com,1,0,1,4601,2011-10-26,997
72Y527CUUW,1980-03-27,UW69R@gmail.com,1,1,1,5382,2013-04-18,692
ALNNKPEF8Y,1955-10-07,EGVTB@gmail.com,1,0,1,9983,2018-12-19,711
AYATPWYY3Z,1984-02-28,JMTLC@kio.pl,0,0,1,7862,2010-02-14,182
DQCEPLU35L,2003-02-09,82VYG@wp.pl,0,1,1,5045,2016-11-05,660
O9REU68KOW,1956-10-17,EVTDQ@kio.pl,1,0,1,2475,2019-10-19,415
TWYCKH142W,1992-01-26,BFII0@kio.pl,1,0,1,1825,2021-06-15,633
F24DQU2YC5,2020-02-03,VRYC8@kio.pl,1,0,1,1622,2018-05-04,555
0LJNL46JZC,1956-12-04,WECOF@kio.pl,1,0,1,9961,2022-12-19,300
07WMA8THEW,1976-11-09,IC56Q@wp.pl,0,1,1,9184,2012-07-07,824
PR8U2ANG4R,1982-08-11,4AN3L@wp.pl,0,0,1,3584,2020-07-28,693
7HXW2GLNW3,1963-09-23,LFCSI@gmail.com,0,0,1,4491,2014-03-09,891
77RR8Y1EU8,1952-06-27,LVBWY@gmail.com,1,0,1,4063,2017-01-09,83
8SWKB4MIEA,1954-09-15,VH9UE@gmail.com,0,0,1,1120,2021-07-03,316
FY5JXB4XKD,2008-02-23,L2ASB@kio.pl,0,1,1,8683,2016-04-16,652
VRR2SV2ML6,1962-12-08,086CQ@kio.pl,0,0,1,7724,2016-08-16,93
U0RQRHL3H6,2007-01-13,V0ZP3@kio.pl,0,0,1,6792,2012-04-20,973
UDAAPWOE70,2002-05-02,BLSPN@wp.pl,0,0,1,2752,2012-08-26,164
